ESTU,DESAFECCION_BRUTO,DESAFECCION_AJUSTADO,ANCLAJE,DESAFECCION_FINAL,MATERIAL_BRUTO,PRESION_AGENDA,N_MENCIONES_POL,N_MENCIONES_MAT,PCT_NINGUN_LIDER,PCT_NINGUN_PARTIDO,PCT_SIN_SIMPATIA,N_MUESTRA,PESO_TOTAL,FECHA
3234.0,22.07327971403038,36.11138431799098,22.138708575333105,22.109025915996423,41.91800714924039,0.4191800714924039,0.5814343163538874,1.1146112600536193,,28.14814814814815,15.472481827622014,2984.0,2984.0,2018-12-01
3238.0,22.7891156462585,36.34407520331156,22.482758620689655,22.617374818779968,40.44273447083752,0.4044273447083752,0.5901639344262295,1.0956841753094682,,27.548111190306486,16.87631027253669,2989.0,2989.0,2019-01-01
3240.0,21.328160143949617,35.86838904194762,22.717913520933426,21.83423301844354,43.224246513720196,0.43224246513720194,0.5597165991902834,1.1497975708502024,,28.404669260700388,16.556751128080528,2964.0,2964.0,2019-02-01
3247.0,21.2786152987158,38.90359869839714,15.859106529209622,19.11892797319933,50.256839754327196,0.502568397543272,0.5735343383584589,1.3561139028475713,,21.134751773049647,10.28393351800554,2985.0,2985.0,2019-05-01
3252.0,21.76642008518269,39.04739367837046,22.22799722799723,21.90764402600314,48.88477919748936,0.4888477919748936,0.6112979152656355,1.3298587760591796,,29.751172015867294,14.210526315789473,2974.0,2974.0,2019-06-01
3261.0,28.140873687775144,46.87808903911795,22.350412849225197,25.825713963201267,44.801896376566205,0.448018963765662,0.7720961733830003,1.2465289536065018,,27.3989898989899,16.00418410041841,5906.0,5906.0,2019-09-01
3267.0,23.818554020156792,42.82330982537587,16.08248867139725,20.732826727905845,47.311246050562765,0.47311246050562766,0.6438722396353529,1.3318928901002822,,17.535555604074183,12.747361226570902,4805.0,4804.99787,2019-11-01
3271.0,26.277455331740068,43.68841039169241,20.73802207806987,24.06168203027199,46.86468646864686,0.4686468646864686,0.7278934790030728,1.3188801638784569,,21.407837445573293,65.74074074074075,2929.0,2929.0,2020-01-01
3273.0,24.467365573216096,43.14461001673729,19.560928869349564,22.504790891669483,49.16582121519558,0.49165821215195576,0.6973283733513697,1.3540750760906324,,20.767004341534008,63.20224719101124,2957.0,2957.0,2020-02-01
3277.0,22.366060928569997,39.937173113499966,19.53856371975925,21.235062045045698,50.0900673533253,0.5009006735332531,0.6337145651753472,1.3787090693902824,,20.52171269008573,63.08746448288859,3911.0,3910.9972,2020-03-01
3279.0,19.077777777777776,27.257593947866127,11.088888888888889,15.882222222222222,32.43888888888888,0.32438888888888884,0.5196666666666667,1.0313333333333334,,12.345679012345679,49.6757457846952,3000.0,3000.0,2020-04-01
3281.0,20.561403508771928,30.551833055328814,11.649122807017543,16.996491228070173,34.9561403508772,0.34956140350877196,0.5492105263157895,1.0539473684210525,,13.092926490984743,50.5175983436853,3800.0,3800.0,2020-05-01
3283.0,20.838538140292282,29.455797795591476,14.784156145588131,18.41678534241062,30.997320933429574,0.30997320933429573,0.5172164982112483,0.8946776349571989,,14.851059574216826,50.35358402577764,4258.0,4258.00294,2020-06-01
