ESTU,CCAA,SCORE_POLITICO_BRUTO,SCORE_MATERIAL_BRUTO,INDICE_ANCLAJE,INDICE_DESAFECCION_FINAL,N_MUESTRA,FECHA,CCAA_NOMBRE
3366.0,3.0,23.06318585969495,40.867306757586036,12.42166653461607,18.8065781296634,96,2022-06,Asturias
3366.0,4.0,19.676897504426847,36.055682355454415,16.826575772138288,18.536768811511426,84,2022-06,Baleares
3366.0,5.0,23.2843373167378,43.09519994805046,21.65948668681936,22.634397064770425,148,2022-06,Canarias
3366.0,6.0,24.532997945907873,41.59207928413459,18.799054374964168,22.239420517530384,91,2022-06,Cantabria
3366.0,7.0,24.88689817371708,38.826018610074186,19.77622663637164,22.842629558778906,150,2022-06,Castilla-La Mancha
3366.0,8.0,21.60284322416848,41.72811144587608,21.33863575013579,21.497160234555402,199,2022-06,Castilla y León
3366.0,9.0,19.820541667982308,37.62240561840327,21.33860384559079,20.4277665390257,476,2022-06,Cataluña
3366.0,10.0,24.29617727264958,39.55754043777609,19.70463523450202,22.459560457390555,361,2022-06,C. Valenciana
3366.0,11.0,20.298767540989722,42.75190576100709,20.385035698633843,20.33327480404737,90,2022-06,Extremadura
3366.0,12.0,21.437168290068108,45.97879200735495,15.561740580167795,19.086997206107984,246,2022-06,Galicia
3366.0,13.0,23.38766874332644,42.561719017805665,13.79781851564111,19.551728652252308,564,2022-06,Madrid
3366.0,14.0,24.640692102221827,36.51868186543631,17.62488143505059,21.834367835353333,99,2022-06,Murcia
3366.0,15.0,17.956656065613412,43.09189343736168,21.005563153063537,19.17621890059346,96,2022-06,Navarra
3366.0,16.0,20.6211041421348,42.43301073868707,20.941995062530076,20.749460510292913,175,2022-06,País Vasco
3366.0,17.0,20.31399762825641,36.7025735691847,22.184832692852314,21.06233165409477,61,2022-06,La Rioja
3371.0,1.0,21.88330233205515,42.87073988858623,16.886992861880486,19.88477854398528,683,2022-07,Andalucía
3371.0,2.0,19.896163935043948,34.18641393313606,20.203540055691338,20.019114383302906,101,2022-07,Aragón
3371.0,3.0,17.478020509421363,44.09459790167974,19.540195278781155,18.30289041716528,96,2022-07,Asturias
3371.0,4.0,21.756009573624723,41.88257867659264,19.28183219077425,20.766338620484532,99,2022-07,Baleares
3371.0,5.0,17.22147305753671,35.667375069736266,21.355266941996863,18.874990611320772,169,2022-07,Canarias
3371.0,6.0,16.175418255628387,42.07030627911277,15.497764198517922,15.904356632784198,94,2022-07,Cantabria
3371.0,7.0,22.15272336073864,40.75070920640972,15.886513161344531,19.646239280981,176,2022-07,Castilla-La Mancha
3371.0,8.0,20.14212552819086,46.63654057931403,19.08984304230811,19.721212533837758,207,2022-07,Castilla y León
3371.0,9.0,16.810765302139114,42.35038353772783,21.86653558261943,18.833073414331242,576,2022-07,Cataluña
3371.0,10.0,19.064764759456104,42.71051426443527,16.773047195172758,18.148077733742763,398,2022-07,C. Valenciana
3371.0,11.0,20.48275916531969,44.607384819617195,11.843903335360151,17.027216833335874,94,2022-07,Extremadura
3371.0,12.0,18.715435684506453,41.591723978200534,14.155475919755625,16.891451778606122,249,2022-07,Galicia
3371.0,13.0,19.513010824359625,45.68284299337253,14.070477837203264,17.335997629497083,549,2022-07,Madrid
3371.0,14.0,19.3112782361035,41.1078229067867,18.583032582260078,19.01997997456613,115,2022-07,Murcia
3371.0,15.0,16.325049785932936,42.11463754757086,19.612264313144514,17.63993559681757,96,2022-07,Navarra
3371.0,16.0,18.21306557861403,42.97021756366129,22.871543134869928,20.07645660111639,188,2022-07,País Vasco
3371.0,17.0,18.589266129580338,42.533807944563,15.346886439349586,17.292314253488033,80,2022-07,La Rioja
3375.0,1.0,21.75180686333894,37.0646377842107,16.761759927054204,19.755788088825046,689,2022-09,Andalucía
3375.0,2.0,19.391056525646082,37.998998336025615,20.53693010048555,19.84940595558187,104,2022-09,Aragón
3375.0,3.0,17.798118449348106,39.080475284974334,18.134598667130327,17.932710536461,96,2022-09,Asturias
3375.0,4.0,19.199338754843062,31.536252697619478,21.235888798724993,20.013958772395835,89,2022-09,Baleares
3375.0,5.0,22.061483055850747,36.554347227142124,18.04735328846381,20.45583114889597,148,2022-09,Canarias
3375.0,6.0,20.325194152616046,35.77938589509687,14.69531833529246,18.073243825686614,94,2022-09,Cantabria
