Periodo,AUX_IPC_ESP,AUX_IPC_AND,AUX_IPC_ARA,AUX_IPC_AST,AUX_IPC_BAL,AUX_IPC_CAN,AUX_IPC_CANT,AUX_IPC_CAT,AUX_IPC_CLM,AUX_IPC_CYL,AUX_IPC_EXT,AUX_IPC_GAL,AUX_IPC_MAD,AUX_IPC_MUR,AUX_IPC_NAV,AUX_IPC_PV,AUX_IPC_RIO,AUX_IPC_VAL,CON_OCI_ESP,CON_OCI_AND,CON_OCI_ARA,CON_OCI_AST,CON_OCI_BAL,CON_OCI_CAN,CON_OCI_CANT,CON_OCI_CAT,CON_OCI_CLM,CON_OCI_CYL,CON_OCI_EXT,CON_OCI_GAL,CON_OCI_MAD,CON_OCI_MUR,CON_OCI_NAV,CON_OCI_PV,CON_OCI_RIO,CON_OCI_VAL,EMP_SOC_ESP,EMP_SOC_AND,EMP_SOC_ARA,EMP_SOC_AST,EMP_SOC_BAL,EMP_SOC_CAN,EMP_SOC_CANT,EMP_SOC_CAT,EMP_SOC_CLM,EMP_SOC_CYL,EMP_SOC_EXT,EMP_SOC_GAL,EMP_SOC_MAD,EMP_SOC_MUR,EMP_SOC_NAV,EMP_SOC_PV,EMP_SOC_RIO,EMP_SOC_VAL,GOB_DES_ESP,GOB_DES_AND,GOB_DES_ARA,GOB_DES_AST,GOB_DES_BAL,GOB_DES_CAN,GOB_DES_CANT,GOB_DES_CAT,GOB_DES_CLM,GOB_DES_CYL,GOB_DES_EXT,GOB_DES_GAL,GOB_DES_MAD,GOB_DES_MUR,GOB_DES_NAV,GOB_DES_PV,GOB_DES_RIO,GOB_DES_VAL,INF_TRA_ESP,INF_TRA_AND,INF_TRA_ARA,INF_TRA_AST,INF_TRA_BAL,INF_TRA_CAN,INF_TRA_CANT,INF_TRA_CAT,INF_TRA_CLM,INF_TRA_CYL,INF_TRA_EXT,INF_TRA_GAL,INF_TRA_MAD,INF_TRA_MUR,INF_TRA_NAV,INF_TRA_PV,INF_TRA_RIO,INF_TRA_VAL,INV_HIP_ESP,INV_HIP_AND,INV_HIP_ARA,INV_HIP_AST,INV_HIP_BAL,INV_HIP_CAN,INV_HIP_CANT,INV_HIP_CAT,INV_HIP_CLM,INV_HIP_CYL,INV_HIP_EXT,INV_HIP_GAL,INV_HIP_MAD,INV_HIP_MUR,INV_HIP_NAV,INV_HIP_PV,INV_HIP_RIO,INV_HIP_VAL,SOC_ASO_ESP,SOC_ASO_AND,SOC_ASO_ARA,SOC_ASO_AST,SOC_ASO_BAL,SOC_ASO_CAN,SOC_ASO_CANT,SOC_ASO_CAT,SOC_ASO_CLM,SOC_ASO_CYL,SOC_ASO_EXT,SOC_ASO_GAL,SOC_ASO_MAD,SOC_ASO_MUR,SOC_ASO_NAV,SOC_ASO_PV,SOC_ASO_RIO,SOC_ASO_VAL
2023-04-01,94.39,94.513,94.205,94.291,93.562,94.949,94.616,94.539,94.677,94.55,94.328,94.411,94.225,95.138,94.634,93.814,94.82,94.099,1763851.1,200158.7,34558.8,28549.6,30794.0,45414.10000000001,13506.4,376559.5,29508.9,47583.7,18676.4,74637.1,579295.8,32891.3,17972.0,80780.0,6743.7,144459.6,8624.0,1505.0,127.0,110.0,389.0,306.0,56.0,1825.0,239.0,244.0,78.0,283.0,1868.0,213.0,51.0,220.0,27.0,1071.0,22.99262597961076,21.10019339225656,21.48771713657105,24.87010692402,19.96853936120824,18.68705208761606,24.2906624835834,21.29081921176321,20.85593236935693,22.0533123385812,21.15596770464218,20.06253912334808,19.16688878564,22.60222218157842,17.66641158856824,17.63622241456182,21.89525181782261,19.88621748863768,146446.0,19949.0,9336.0,2772.0,1099.89,6696.0,534.88,23647.0,1598.0,5383.0,862.0,4659.0,40621.0,1925.0,611.04,6538.0,292.98,12260.0,35426.0,7180.0,1374.0,798.0,853.0,1220.0,405.0,5510.0,1381.0,1554.0,589.0,1315.0,5350.0,880.0,393.0,1537.0,195.0,4795.0,755511.9,121332.8,22700.0,14726.0,21067.8,37651.1,9448.8,129706.1,30241.3,35968.7,15628.3,43811.6,119264.5,22760.5,10510.1,35788.8,4832.2,78253.4
2023-05-01,94.345,94.483,94.14,94.085,93.758,94.96,94.59,94.568,94.578,94.643,94.414,94.351,94.061,95.023,94.514,93.814,94.67,93.988,1772453.6,201596.3,34748.4,28732.1,31305.2,45753.4,13570.6,378073.4,29624.4,47848.4,18775.7,75158.0,581283.4,33110.0,18019.7,80986.20000000001,6760.8,145348.0,10408.0,2029.0,195.0,107.0,447.0,328.0,77.0,2046.0,268.0,267.0,112.0,330.0,2216.0,234.0,75.0,342.0,36.0,1284.0,22.45755320864271,19.55165873411973,19.15402069274557,20.82795326413943,23.19602144008153,22.00819619995692,22.06714606567111,20.26944426040233,21.75786750030225,17.68924805672557,21.6221888786123,15.4852787225977,19.8403714630001,21.83441004177586,21.34584917831284,19.47699352027965,16.79433834746851,21.07769671459737,165673.0,20686.0,10860.0,3085.0,1296.14,7358.0,630.32,27485.0,1854.0,6129.0,1042.0,5172.0,45527.0,2086.0,720.06,7954.0,345.25,14415.0,44642.0,9449.0,1151.0,1100.0,1184.0,1554.0,719.0,7234.0,1677.0,2009.0,747.0,1457.0,6223.0,1282.0,471.0,2168.0,252.0,5860.0,762282.8,122233.6,22765.7,14835.0,22636.6,37686.9,9545.9,130809.5,30567.3,36199.7,15828.0,44113.7,120103.2,22929.5,10568.7,35850.3,4865.2,78914.3
2023-06-01,94.881,94.897,94.641,94.631,94.469,95.494,95.212,95.093,95.122,95.165,94.824,94.918,94.604,95.56,95.031,94.511,95.123,94.613,1780639.5,202054.7,34866.5,28882.2,31752.6,46023.2,13721.8,379986.1,29692.0,48049.6,18862.9,75783.8,583498.3,33229.6,18139.2,81268.7,6618.2,146425.3,10207.0,1883.0,199.0,108.0,392.0,373.0,79.0,1956.0,276.0,208.0,128.0,377.0,2389.0,206.0,79.0,244.0,37.0,1255.0,,,,,,,,,,,,,,,,,,,160942.0,18041.0,10296.0,3094.0,1282.02,7324.0,623.45,26279.0,1733.0,5850.0,937.0,5136.0,46205.0,1952.0,712.22,7698.0,341.49,14508.0,43244.0,8396.0,1139.0,771.0,1427.0,1795.0,468.0,6737.0,1760.0,1762.0,731.0,1485.0,7138.0,1443.0,496.0,2354.0,276.0,4984.0,763459.2,122536.8,22499.3,14804.5,23400.8,37732.1,9689.8,131121.4,30438.8,36131.4,15718.3,44312.4,120456.5,22961.4,10505.3,35215.3,4875.7,79187.8
2023-07-01,95.042,94.87,94.962,94.831,94.765,95.363,95.435,95.396,95.266,95.204,94.789,95.002,94.813,95.686,95.619,94.727,95.453,94.794,1789385.4,203777.7,35004.8,29178.3,32112.4,46073.4,13932.1,382019.1,30075.1,48401.6,18934.7,76755.3,583812.1,33591.3,18297.8,81306.0,6619.099999999999,147648.2,8297.0,1359.0,153.0,98.0,284.0,287.0,49.0,1653.0,241.0,207.0,97.0,274.0,1938.0,258.0,42.0,245.0,26.0,1077.0,22.6678889234542,18.58786689136544,16.8851780217401,19.39459095121856,18.16127207426927,18.14903305046695,19.98827486290656,18.52508081140748,21.09513928038388,20.74863425902866,19.15670335868151,17.46005297965297,18.00746272977597,21.61264137568572,14.87920034212054,17.9525581475513,16.40460570902522,19.34029614107551,147412.0,16839.0,8410.0,3053.0,1319.43,7052.0,641.65,25784.0,1383.0,4717.0,729.0,4752.0,40653.0,1581.0,733.0,6940.0,351.46,13283.0,37910.0,7430.0,1145.0,808.0,1096.0,1458.0,347.0,6632.0,1561.0,1662.0,722.0,1220.0,5760.0,1244.0,369.0,1764.0,208.0,4386.0,762820.4,123624.6,22407.8,14718.9,23812.5,37607.9,9901.8,131082.8,30414.3,36238.2,15568.1,44428.2,119341.9,22676.2,10452.1,34913.9,4952.6,78880.6
2023-08-01,95.552,95.448,95.446,95.61,95.583,95.855,96.155,95.853,95.742,95.739,95.186,95.737,95.148,96.222,95.935,95.159,95.912,95.389,1770677.3,202247.0,34808.6,29090.4,31871.6,45798.60000000001,13907.0,376974.3,29878.2,48220.1,18819.4,76367.7,577282.3,33158.5,18189.8,80000.3,6585.4,145618.4,6614.0,1106.0,109.0,83.0,240.0,310.0,31.0,1340.0,184.0,151.0,85.0,283.0,1435.0,161.0,51.0,199.0,28.0,802.0,,,,,,,,,,,,,,,,,,,124778.0,15367.0,7059.0,3035.0,1169.55,6662.0,568.76,19906.0,1232.0,4295.0,665.0,4600.0,31849.0,1158.0,649.73,6893.0,311.53,11211.0,36164.0,7272.0,959.0,701.0,962.0,1989.0,404.0,5653.0,1689.0,1646.0,606.0,1436.0,5135.0,1163.0,485.0,2078.0,198.0,3736.0,750759.1,122423.9,22146.7,14608.5,23771.2,37577.9,9890.1,126965.4,29946.1,35843.6,15457.9,44055.0,117498.2,22231.1,10437.5,33420.4,4948.8,77895.5
2023-09-01,95.721,95.72,95.499,95.361,95.538,96.141,96.132,95.83,96.041,95.865,95.533,95.876,95.592,96.404,96.037,95.241,95.894,95.488,1784866.1,203376.5,34977.0,29042.6,31874.4,46264.4,13866.4,380163.0,29935.1,48318.9,18812.2,75746.0,585529.0,33238.6,18174.3,80943.0,6624.8,146074.6,6735.0,1166.0,126.0,88.0,256.0,279.0,68.0,1176.0,214.0,207.0,67.0,300.0,1519.0,144.0,46.0,201.0,17.0,857.0,,,,,,,,,,,,,,,,,,,166049.0,19698.0,10336.0,3091.0,1303.15,7724.0,633.73,26350.0,1541.0,5930.0,1053.0,5374.0,48621.0,2306.0,723.96,7876.0,347.12,14064.0,39888.0,7243.0,972.0,624.0,1102.0,1306.0,418.0,6758.0,1753.0,1640.0,642.0,1323.0,6964.0,1267.0,437.0,2025.0,260.0,5089.0,752817.4,121983.8,22294.8,14582.2,23129.2,37718.9,9721.4,128564.5,29906.5,35592.9,15535.4,43812.9,118127.3,22463.3,10409.8,33849.5,5056.7,78344.5
2023-10-01,95.998,96.3,95.669,95.608,95.485,96.683,96.226,95.951,96.518,96.176,96.199,96.21,95.72,96.69,96.339,95.411,96.193,95.715,1799541.3,204671.9,35340.5,29118.1,31878.3,46250.9,13886.8,384016.8,30102.7,48663.7,18706.4,76189.7,591407.2,33467.0,18249.2,81797.4,6649.8,147324.0,8294.0,1444.0,142.0,105.0,309.0,304.0,63.0,1663.0,241.0,211.0,80.0,271.0,1986.0,190.0,45.0,268.0,18.0,936.0,26.36387777609677,23.11340414838926,20.19391271348992,21.12658398739029,21.10511330809726,19.95095441876267,21.14170908483251,19.79467582409032,20.91260388036167,21.07586609189751,19.77486517279783,20.62903356339208,19.57297531847475,25.32894661817758,21.89803943308143,18.27640134437773,24.20292491415368,21.90553594226911,180867.0,21859.0,12429.0,3379.0,1343.37,8287.0,653.29,30246.0,1975.0,6464.0,1240.0,5623.0,50939.0,2609.0,746.3,8203.0,357.83,15156.0,41253.0,8163.0,876.0,626.0,877.0,1937.0,409.0,7259.0,1660.0,1889.0,631.0,1512.0,6602.0,1220.0,544.0,1784.0,250.0,4927.0,760525.1,122121.8,22617.5,14696.2,22290.7,38108.2,9640.0,130559.8,30522.1,36041.7,15702.7,44055.3,119507.2,22594.7,10629.7,35081.1,5036.8,79533.8
2023-11-01,95.663,95.857,95.517,95.226,94.848,96.485,96.009,95.604,96.204,95.904,95.697,96.019,95.385,96.305,96.055,95.063,96.023,95.438,1810216.6,205935.1,35399.3,29224.1,31440.0,46372.8,13992.5,386556.7,30325.3,48786.4,18708.7,76546.4,595659.1000000001,33684.0,18295.7,82398.9,6665.7,148451.2,9274.0,1690.0,158.0,89.0,283.0,358.0,55.0,1716.0,281.0,194.0,95.0,324.0,2227.0,258.0,60.0,288.0,48.0,1147.0,24.72631470772465,22.82038691446796,21.57616504508464,21.25800105505508,18.51063191520724,18.88417557681582,21.80227158420821,18.57464266952562,21.4975489790521,26.03807818964671,25.39321543091946,18.86317881057731,20.38663510200531,19.28933510561893,15.56209667495516,17.54211106638866,23.22024138626591,21.01629336888812,174886.0,21510.0,11178.0,3306.0,1266.49,8241.0,615.9,29084.0,1944.0,6570.0,1227.0,5429.0,48768.0,2607.0,703.59,8010.0,337.35,15267.0,43322.0,8986.0,907.0,872.0,831.0,1337.0,690.0,6604.0,2155.0,1863.0,668.0,1343.0,8143.0,1190.0,420.0,2074.0,207.0,4924.0,759010.1,121912.1,22708.9,14705.4,20082.0,38401.5,9634.6,130659.2,30441.8,35995.6,15676.6,43991.5,119532.5,22773.0,10617.0,35398.9,4949.8,79771.7
2023-12-01,95.687,95.801,95.406,95.436,94.828,96.576,95.876,95.726,96.23,95.967,95.698,96.052,95.444,96.242,95.991,94.95,96.098,95.452,1810500.2,206113.2,35428.8,29216.7,31250.4,46298.9,14067.4,386527.8,30368.2,48697.9,18629.7,76624.8,596034.2,33799.60000000001,18204.0,82254.4,6653.8,148598.6,8018.0,1501.0,171.0,94.0,227.0,292.0,70.0,1441.0,209.0,232.0,104.0,324.0,1857.0,222.0,61.0,228.0,33.0,943.0,26.5427609652563,24.1550017758157,24.38440013192713,22.40284295917776,20.3816195533512,22.67574622078124,23.21648692900753,19.931416433848,22.68091387089125,24.08331798516011,25.19686956231312,21.55846871900943,22.54396932283377,21.12436655734887,21.9216563037785,21.72108537524561,24.15855986257232,21.35721473332048,157251.0,19871.0,10594.0,3107.0,1157.36,7547.0,562.83,24421.0,1739.0,6003.0,978.0,4674.0,43565.0,2670.0,642.96,7442.0,308.29,13907.0,32590.0,6327.0,755.0,734.0,795.0,1221.0,385.0,5214.0,1147.0,1400.0,529.0,1319.0,6548.0,731.0,313.0,1502.0,166.0,3458.0,759238.5,122002.2,22783.4,14752.6,19327.0,38569.8,9635.4,130919.6,30531.3,36006.2,15665.6,44001.7,119606.8,22848.4,10592.2,35613.8,4896.5,79695.6
2024-01-01,95.768,95.899,95.58,95.489,94.911,96.609,96.106,95.809,96.289,96.073,95.839,96.223,95.478,96.665,95.482,95.071,96.196,95.468,1804574.6,205484.4,35308.4,29058.7,31160.7,45997.1,14061.2,385519.1,30264.3,48731.2,18546.9,76462.6,593610.2,33710.9,18159.2,81968.1,6707.799999999999,148166.5,10716.0,1909.0,233.0,136.0,407.0,373.0,72.0,2117.0,333.0,284.0,144.0,447.0,2143.0,278.0,122.0,322.0,36.0,1341.0,25.46464421943142,23.80101918323455,24.15555467849444,25.07768710458046,18.25559678124488,21.07834469029094,22.6688297757911,20.52629012427236,23.21979833048974,24.02673554039483,19.14655946808146,21.82158442357819,21.63887334545533,21.49890459310271,23.17092356905292,20.04090509567516,21.70286200526384,22.53666351448248,164204.0,19754.0,10460.0,3254.0,1204.35,8355.0,577.7,26504.0,1831.0,6240.0,1019.0,4968.0,46549.0,2515.0,663.24,7557.0,316.97,14108.0,43660.0,7627.0,938.0,682.0,1074.0,1655.0,549.0,7566.0,1917.0,1959.0,755.0,1908.0,8547.0,1157.0,459.0,1929.0,246.0,4581.0,749912.3,120544.1,22438.5,14615.3,18860.4,38056.1,9523.5,129475.2,30108.6,35574.5,15200.8,43589.8,118433.3,22597.9,10492.4,35325.1,4770.4,78551.5
2024-02-01,96.108,96.144,96.186,95.86,95.177,96.975,96.259,96.166,96.635,96.366,96.155,96.442,95.838,96.926,95.894,95.668,96.381,95.823,1815471.4,207590.4,35652.0,29174.9,31410.5,45985.3,14125.2,386590.3,30325.5,49024.0,18747.5,77207.6,597159.3999999999,33863.9,18224.1,82715.6,6764.3,149234.0,10962.0,1617.0,218.0,183.0,401.0,384.0,68.0,2032.0,309.0,275.0,129.0,386.0,2721.0,221.0,82.0,360.0,40.0,1520.0,24.13709358367161,21.94529090267936,19.56614415370825,22.49895527032141,17.50390535305992,21.72718369448329,22.14867897882334,22.68521698632898,20.14187061958023,22.03478233601452,25.09713465119932,18.18028309176861,22.99851178753321,22.88119152715726,24.01242131546856,17.98140150223551,22.21519697079855,21.93714400842146,169473.0,20114.0,11090.0,3241.0,1232.59,8108.0,591.24,28032.0,1909.0,6317.0,1167.0,4986.0,48116.0,2585.0,678.78,7395.0,324.4,15063.0,49156.0,7612.0,1280.0,1181.0,1652.0,3132.0,555.0,7824.0,2136.0,2364.0,848.0,1807.0,8492.0,1367.0,859.0,2287.0,261.0,5417.0,753098.9,121367.7,22571.3,14624.0,19091.0,38054.6,9519.0,129873.6,30229.4,35628.3,15373.0,43772.4,118667.8,22723.9,10605.9,35581.9,4779.6,78895.1
2024-03-01,96.84,96.806,96.813,96.651,95.983,97.486,96.839,97.034,97.276,96.952,96.749,97.081,96.64,97.643,96.868,96.286,97.119,96.629,1825067.3,208650.7,35842.7,29231.8,31672.7,46180.0,14220.4,388816.1,30561.0,49212.9,18814.1,77911.6,600140.9,33975.7,18289.9,83126.1,6764.700000000001,149980.4,10683.0,1865.0,173.0,136.0,394.0,402.0,77.0,2215.0,300.0,242.0,115.0,425.0,2391.0,243.0,92.0,300.0,52.0,1255.0,26.86695885607507,24.76196758379645,26.8420479213184,23.09044338334036,23.91261419398577,26.00200644419897,24.06801181516401,22.01327151065704,20.95511954773698,26.44006739486869,24.32557136762496,21.76721873683626,22.60945805729321,20.57870230143919,23.94364491724738,19.51511494637629,27.33800425136767,23.04531150847404,166330.0,20820.0,10732.0,3249.0,1267.12,7941.0,607.81,27484.0,1832.0,6229.0,1095.0,5043.0,45277.0,2334.0,697.8,7393.0,333.49,15233.0,38370.0,6959.0,1090.0,641.0,899.0,1277.0,473.0,6637.0,1316.0,1471.0,633.0,1376.0,7033.0,1042.0,691.0,1674.0,273.0,4811.0,759972.5,122742.0,22801.8,14711.4,20006.5,38421.4,9534.8,130852.5,30578.2,35932.8,15519.5,44051.8,119153.9,22986.2,10724.7,35794.1,4812.9,79632.6
2024-04-01,97.514,97.594,97.322,97.38,96.949,98.071,97.607,97.637,98.067,97.661,97.576,97.904,97.245,98.187,97.393,97.057,97.885,97.164,1834980.2,210067.4,35926.5,29346.6,32277.5,46444.3,14261.5,391025.5,30747.0,49513.3,18841.3,78835.3,602852.3,34102.3,18243.7,83282.4,6791.5,150758.3,11756.0,2133.0,187.0,127.0,494.0,441.0,93.0,2435.0,335.0,280.0,149.0,412.0,2568.0,266.0,94.0,295.0,30.0,1401.0,27.20552366546911,23.13254025824585,20.58023225963245,19.72627884681276,20.54065865363821,22.14701114400214,19.35672356528813,21.87268600634694,26.48725846459616,24.16701991709119,22.56865272912458,21.68274091667202,24.23150472363571,21.32910391225021,27.42431007373224,21.17187330802641,24.04225809621712,22.63697745852444,179505.0,23752.0,11088.0,3498.0,1333.48,8800.0,639.64,28454.0,1996.0,6528.0,1301.0,5818.0,51268.0,2649.0,734.34,6858.0,350.95,15216.0,44891.0,9011.0,1144.0,1067.0,979.0,1494.0,556.0,6904.0,2319.0,1783.0,573.0,1666.0,7177.0,1097.0,495.0,2192.0,238.0,6077.0,766084.9,123887.5,22848.7,14802.5,21620.4,38645.4,9555.3,131639.9,30705.5,36122.2,15666.1,44278.2,119921.1,23000.9,10791.3,35920.2,4821.0,80114.9
