Periodo,Año,Trimestre,Region,Categoria,Valor
2024-Q3,2024,3,ESP,9. Sustracciones de vehÃ­culos,24840.0
2024-Q3,2024,3,ESP,10. TrÃ¡fico de drogas,16392.0
2024-Q3,2024,3,ESP,11. Resto de criminalidad convencional,799987.0
2024-Q3,2024,3,ESP,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),347407.0
2024-Q3,2024,3,ESP,12.-Estafas informÃ¡ticas,309090.0
2024-Q3,2024,3,ESP,13.-Otros ciberdelitos,38317.0
2024-Q3,2024,3,ESP,III. TOTAL INFRACCIONES PENALES,1854283.0
2024-Q3,2024,3,AND,I. CRIMINALIDAD CONVENCIONAL,249205.0
2024-Q3,2024,3,AND,1. Homicidios dolosos y asesinatos consumados,67.0
2024-Q3,2024,3,AND,2. Homicidios dolosos y asesinatos en grado tentativa,212.0
2024-Q3,2024,3,AND,3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,4102.0
2024-Q3,2024,3,AND,4. Secuestro,19.0
2024-Q3,2024,3,AND,5. Delitos contra la libertad sexual,2389.0
2024-Q3,2024,3,AND,5.1.-AgresiÃ³n sexual con penetraciÃ³n,477.0
2024-Q3,2024,3,AND,5.2.-Resto de delitos contra la libertad sexual,1912.0
2024-Q3,2024,3,AND,6. Robos con violencia e intimidaciÃ³n,5625.0
2024-Q3,2024,3,AND,"7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",13910.0
2024-Q3,2024,3,AND,7.1.-Robos con fuerza en domicilios,9861.0
2024-Q3,2024,3,AND,8. Hurtos,70484.0
2024-Q3,2024,3,AND,9. Sustracciones de vehÃ­culos,4556.0
2024-Q3,2024,3,AND,10. TrÃ¡fico de drogas,3324.0
2024-Q3,2024,3,AND,11. Resto de criminalidad convencional,144517.0
2024-Q3,2024,3,AND,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),60456.0
2024-Q3,2024,3,AND,12.-Estafas informÃ¡ticas,52910.0
2024-Q3,2024,3,AND,13.-Otros ciberdelitos,7546.0
2024-Q3,2024,3,AND,III. TOTAL INFRACCIONES PENALES,309661.0
2024-Q2,2024,2,ESP,I. CRIMINALIDAD CONVENCIONAL,986444.0
2024-Q2,2024,2,ESP,1. Homicidios dolosos y asesinatos consumados,195.0
2024-Q2,2024,2,ESP,2. Homicidios dolosos y asesinatos en grado tentativa,619.0
2024-Q2,2024,2,ESP,3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,13799.0
